,paid work,education,Care for household members ,Housework,Shopping,Other unpaid work & volunteering,Sleep,Eating and drinking,Personal care,Sports,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Australia,Attending events,6
,,,,,,,,,,,,,,,,,,Austria,Attending events,9
,,,,,,,,,,,,,,,,,,Belgium,Attending events,15
,,,,,,,,,,,,,,,,,,Canada,Attending events,6
,,,,,,,,,,,,,,,,,,Denmark,Attending events,7
,,,,,,,,,,,,,,,,,,Estonia,Attending events,8
,,,,,,,,,,,,,,,,,,Finland,Attending events,8
,,,,,,,,,,,,,,,,,,France,Attending events,15
,,,,,,,,,,,,,,,,,,Germany,Attending events,14
,,,,,,,,,,,,,,,,,,Greece,Attending events,5
,,,,,,,,,,,,,,,,,,Hungary,Attending events,6
,,,,,,,,,,,,,,,,,,Ireland,Attending events,42
,,,,,,,,,,,,,,,,,,Italy ,Attending events,6
,,,,,,,,,,,,,,,,,,Korea,Attending events,4
,,,,,,,,,,,,,,,,,,Latvia,Attending events,5
,,,,,,,,,,,,,,,,,,Lithuania,Attending events,1
,,,,,,,,,,,,,,,,,,Luxembourg,Attending events,12
,,,,,,,,,,,,,,,,,,Mexico,Attending events,7
,,,,,,,,,,,,,,,,,,Netherlands,Attending events,7
,,,,,,,,,,,,,,,,,,New Zealand,Attending events,6
,,,,,,,,,,,,,,,,,,Norway ,Attending events,8
,,,,,,,,,,,,,,,,,,Poland,Attending events,3
,,,,,,,,,,,,,,,,,,Portugal,Attending events,11
,,,,,,,,,,,,,,,,,,Slovenia,Attending events,5
,,,,,,,,,,,,,,,,,,Spain,Attending events,9
,,,,,,,,,,,,,,,,,,Sweden,Attending events,9
,,,,,,,,,,,,,,,,,,Turkey,Attending events,3
,,,,,,,,,,,,,,,,,,UK,Attending events,7
,,,,,,,,,,,,,,,,,,USA,Attending events,8
,,,,,,,,,,,,,,,,,,China,Attending events,2
,,,,,,,,,,,,,,,,,,India,Attending events,5
,,,,,,,,,,,,,,,,,,South Africa,Attending events,5
,,,,,,,,,,,,,,,,,,Australia,Seeing friends,40
,,,,,,,,,,,,,,,,,,Austria,Seeing friends,82
,,,,,,,,,,,,,,,,,,Belgium,Seeing friends,50
,,,,,,,,,,,,,,,,,,Canada,Seeing friends,53
,,,,,,,,,,,,,,,,,,Denmark,Seeing friends,81
,,,,,,,,,,,,,,,,,,Estonia,Seeing friends,38
,,,,,,,,,,,,,,,,,,Finland,Seeing friends,55
,,,,,,,,,,,,,,,,,,France,Seeing friends,55
,,,,,,,,,,,,,,,,,,Germany,Seeing friends,61
,,,,,,,,,,,,,,,,,,Greece,Seeing friends,56
,,,,,,,,,,,,,,,,,,Hungary,Seeing friends,35
,,,,,,,,,,,,,,,,,,Ireland,Seeing friends,49
,,,,,,,,,,,,,,,,,,Italy ,Seeing friends,65
,,,,,,,,,,,,,,,,,,Japan,Seeing friends,17
,,,,,,,,,,,,,,,,,,Korea,Seeing friends,42
